Type,Institute Name,Location,Phone,Email,Principal/Head,Address,Notes
School,GD Goenka Public School Dakshineswar,Kolkata,033-25102510,——,——,48A Bidyayatan Sarani,Kolkata
School,Narayana School Rajarhat,Kolkata,033-40081234,——,——,Action Area II New Town,Kolkata-700156
School,Sri Chaitanya School New Town,Kolkata,033-40653333,——,——,Action Area I New Town,Kolkata-700156
School,DPS Joka,Kolkata,033-24980611,——,——,Gazipur Bakrahat Road Joka,Kolkata-743377
School,Sushila Birla Girls' School,Kolkata,033-22879006,——,Mrs. Koeli Dey,7 Moira Street,Kolkata-700017
School,Ashok Hall Girls' Higher Secondary School,Kolkata,033-22871271,——,——,5A Sarat Bose Road,Kolkata
Preschool,George Kids Preschool,Kolkata,6292313905,——,——,31A SP Mukherjee Road,Kolkata-700025
Preschool,Fun & Learn Day School Barasat,Kolkata,9123798656,fun.learn.barasat@gmail.com,Mrs. Subhalina Mukherjee,Nabapally Circular Road Barasat,Kolkata-700126
Preschool,Birla Open Minds Tollygunge,Kolkata,9123642807,——,——,14/145 Uday Sankar Sarani Golf Club Road,Kolkata-700033
Preschool,Milkyway Pre School,Kolkata,9674384433,milkywaypreschool2015@gmail.com,——,83/30 Dumdum Road,Kolkata-700074
Preschool,The Rising Sun Playhouse Salt Lake,Kolkata,9831944145,therisingsunplayhouse@gmail.com,Ms. Priyanka Niyogi,Salt Lake,Kolkata-700102
Preschool,EuroKids (83+ centers across Kolkata),Kolkata,Varies by center,——,Various franchisees,Multiple locations across Kolkata,"Chain - contact individual centers"
College/University,University of Calcutta,Kolkata,033-22410071,registrar@caluniv.ac.in,Prof. Ashutosh Ghosh (VC),87/1 College Street,Kolkata-700073
College/University,Jadavpur University,Kolkata,033-24572227,——,——,188 Raja SC Mallick Road,Kolkata-700032
College/University,IIM Calcutta,Kolkata,033-24678310,——,Prof. Sahadeb Sarkar,Diamond Harbour Road Joka,Kolkata
College/University,Amity University Kolkata,Kolkata,033-71020304,admissions@kol.amity.edu,——,Major Arterial Road Action Area II New Town,Kolkata-700135
College/University,Adamas University,Kolkata,1800-419-7423,admission@adamasuniversity.ac.in,——,Barasat-Barrackpore Road,Kolkata-700126
College/University,St. Xavier's University Kolkata,Kolkata,033-66249881,——,——,Action Area IIIB New Town,Kolkata-700160
College/University,St. Xavier's College (Autonomous),Kolkata,033-22551216,——,Rev. Dr. Dominic Savio SJ,30 Mother Teresa Sarani,Kolkata-700016
College/University,JIS University,Kolkata,033-25636677,admissions@jisuniversity.ac.in,——,81 Nilgunj Road Agarpara,Kolkata-700109
College/University,Techno India University,Kolkata,033-23572450,——,——,EM-4 Sector V Salt Lake,Kolkata-700091
College/University,City College Kolkata,Kolkata,033-23501565,principal.citycollege@gmail.com,Prof. Sital Chattapadhyay,102/1 Raja Rammohan Sarani,Kolkata-700009
College/University,George Group of Colleges,Kolkata,9831552299,enquiry@georgecollege.org,——,136 BB Ganguly Street Sealdah,Kolkata-700012
College/University,IBMR Kolkata,Kolkata,8902180878,——,——,318A Prantik Pally Rajdanga,Kolkata-700107
College/University,Greater Kolkata College of Engg & Management,Kolkata,6291977709,info.gkcem@jisgroup.org,——,Baruipur,Kolkata-743387
College/University,ISBM Kolkata,Kolkata,9804866596,——,——,Kolkata
Vocational Training,Jyotirmoy Private ITI Kolkata,Kolkata,8420105459,jpitiprincipal@jewf.org,——,Kalikapur Sonarpur,Kolkata-743330
School,Delhi Public School Durgapur,Durgapur,9681500600,info@dpsdurgapur.com,Mr. Umesh Chand Jaiswal,"Plot 2D/10 Sector 2D Bidhannagar",Durgapur-713212
School,St. Xavier's School Durgapur,Durgapur,7319404207,principal@stxaviersdgp.com,——,Bidhannagar ABL Township,Durgapur-713206
School,DAV Model School Durgapur,Durgapur,0343-2563500,davmodeldgp@rediffmail.com,Ms. Papiya Mukherjee,JM Sengupta Road B-Zone,Durgapur-713205
School,St. Michael's School Durgapur,Durgapur,8348445674,saintmi09@gmail.com,——,Aldrin Path Bidhannagar,Durgapur-713212
School,Hem Sheela Model School,Durgapur,0343-2566850,——,——,JN Avenue,Durgapur-713214
School,Carmel Convent High School,Durgapur,0343-2504368,——,——,Fuljhore Road Kaliganj,Durgapur-713210
School,Carmel School Durgapur,Durgapur,0343-2562333,st.carmeldgp@gmail.com,——,Guru Nanak Road,Durgapur-713205
School,St. Peter's School Durgapur,Durgapur,8420910259,spetersdgp@yahoo.com,——,Mirabai Avenue A-Zone,Durgapur-713204
School,Beachwood School,Durgapur,9474999971,info@beachwoodschool.net,——,Satyajit Ray Sarani City Center,Durgapur-713216
School,Durgapur Public School,Durgapur,8170021127,contact@dpsdgp.com,Mrs. Soma Roy,"Sahid Sukumar Banerjee Sarani Bidhannagar",Durgapur-713212
School,ODM International School Durgapur,Durgapur,1800-120-2316,principal.ois-dgp@odmegroup.org,Mr. Ajay Kumar Chouhan,South Grand Trunk Road Palasdiha,Durgapur-713208
School,Narayana School Durgapur,Durgapur,1800-102-3344,——,——,Sector 2D Bidhan Nagar,Durgapur-713212
School,Amrita Vidyalayam Durgapur,Durgapur,0343-2533560,avdurgapur@gmail.com,——,Rangamati Path Bidhannagar,Durgapur-713212
School,Durgapur Ispat Vidyalaya,Durgapur,——,div.saildsp.co.in,Mr. Somnath Roy,St. Paul's Road,Durgapur-713204
School,Guru Teg Bahadur Public School,Durgapur,0343-2575873,——,Mrs. Sutapa Acharya,Benachity Road,Durgapur-713204
School,Bidhan School,Durgapur,8509200765,info.bidhanschool@gmail.com,——,Bidhannagar Ispat Pally,Durgapur-713212
School,St. Xavier's High School Durgapur,Durgapur,9932443325,——,——,Palashdiha City Center Phase II,Durgapur-713208
School,Techno India Group Public School Durgapur,Durgapur,0343-2536655,——,——,A-201 Rangamati Path Sector 2C Bidhannagar,Durgapur-713212
School,Pranavananda Vidyamandir,Durgapur,0343-2563333,——,——,Chaitanya Ave B-Zone,Durgapur-713205
School,Aurobindo Vidya Mandir,Durgapur,0343-2570051,——,——,Harshabardhan Rd A-Zone,Durgapur-713204
Preschool,Rainbow Kids School Durgapur,Durgapur,9800148290,info@therainbowkidsschool.com,——,"C-25 3rd Street Central Park Doctors Colony City Center",Durgapur-713216
Preschool,The First Step Durgapur,Durgapur,8670726379,——,——,——,Durgapur
Preschool,Bachpan Play School Durgapur,Durgapur,7407407444,——,——,Multiple centers,Durgapur
Preschool,Little Flowers School Durgapur,Durgapur,9933673190,contact@littleflowersschool.in,——,7/2 Tetikhala Kaliganj More,Durgapur-12
Preschool,EuroKids (3+ centers in Durgapur),Durgapur,7384846222,——,——,"Benachity Bidhannagar SEPCO Township",Durgapur
College/University,National Institute of Technology (NIT) Durgapur,Durgapur,0343-2546397,director@nitdgp.ac.in,Prof. Arvind Choubey (Director),Mahatma Gandhi Road A-Zone City Center,Durgapur-713209
College/University,Dr. B.C. Roy Engineering College,Durgapur,0343-2501353,info@bcrec.ac.in,Dr. Sanjay S. Pawar,Jemua Road Fuljhore,Durgapur-713206
College/University,Bengal College of Engg & Technology,Durgapur,0343-2533186,bcet_dgp@rediffmail.com,Prof. (Dr.) Santanu Koley,Sahid Sukumar Banerjee Sarani Bidhannagar,Durgapur-713212
College/University,Durgapur Government College,Durgapur,0343-2500534,dgpgovtcollage@gmail.com,——,Jawahar Lal Nehru Road Amrabati Colony,Durgapur-713214
College/University,Michael Madhusudan Memorial College,Durgapur,0343-2566700,principalmmmc@gmail.com,——,Kaviguru Sarani City Center,Durgapur-713216
College/University,Durgapur Law College,Durgapur,8900001230,directorlcd@rahul.ac.in,——,GT Road Rajbandh,Durgapur-713212
College/University,DSMS (Durgapur Society of Management Science),Durgapur,9932077701,info@dsmsindia.org,——,Dr. Zakir Hussain Avenue Bidhannagar Hudcomore,Durgapur-713206
College/University,Durgapur Institute of Management & Science,Durgapur,0343-2533187,——,——,Sahid Sukumar Banerjee Sarani Bidhannagar,Durgapur-713212
College/University,NSHM Knowledge Campus Durgapur,Durgapur,0343-2533813,——,Ms. Lopamudra Sarkar,Arrah Shibtala Via Muchipara,Durgapur-713212
College/University,IQ City Medical College,Durgapur,7477792024,admissions@iqct.in,——,——,Durgapur-713206
College/University,Shri Ramkrishna Institute of Medical Sciences,Durgapur,0343-2700085,——,——,Malandighi Kanksha,Durgapur-713212
Vocational Training,Govt ITI Durgapur Muchipara,Durgapur,0343-2557371,——,——,Muchipara Bidhannagar,Durgapur
Vocational Training,Gouri Devi Private ITI,Durgapur,8348691545,principal.gdpiti@rahul.ac.in,Shri R. N. Majumder (President),GT Road Rajbandh,Durgapur-713212
Vocational Training,Paramedical College Durgapur,Durgapur,033-2535487,info@paramedicalcollege.org,——,"Hellen Keller Sarani Sector 2A Bidhannagar",Durgapur-713212
Vocational Training,DPMI Paramedical Durgapur,Durgapur,03340838081,durgapur@dpmibangla.com,——,Urvashi Complex City Center,Durgapur-713216
Vocational Training,Durgapur ITI (DPC),Durgapur,9434033636,dsetadmission@gmail.com,——,City Centre Phase II,Durgapur-713208
