Type,Clinic Name,Location,Contact Number(s),Address,Notes
Skin,Skin Joy Clinic,Kolkata (New Town),8617241804,New Town Kolkata,"Dermatologist & Plastic Surgeon, newer clinic"
Skin,Bhattacharyya's Skin & Physio Clinic,Kolkata (Salt Lake),"9433357058, 6289596763","BF-109, Ground Floor, Sec-1, Salt Lake, Kolkata 700064","Unique combo skin + physio clinic"
Eye,Orient Medical Centre,Kolkata (Park Circus),——,"Park Circus, Kolkata","Founded 2015, multispecialty with eye care"
Physiotherapy,Divine Poly Clinic,Kolkata (Phulbagan),——,"15-B, Abinsh Chandra Lane, Near Trikon Park, Phulbagan, Kolkata","Multi-speciality with physio"
Multi-speciality,BN Clinic 19,Kolkata,——,Kolkata,"Multispecialty clinic with gynae, diabetic, child specialists"
Multi-speciality,Dr. Sayan Ghosh Multispeciality Clinic,Kolkata (Behala),——,"1/2 Siddhinath Chatterjee Road, Manton, Behala, Kolkata 700034","Endocrinologist-led multispeciality"
Fertility,Ankur Fertility & Women's Clinic,Kolkata (New Alipore),——,New Alipore Kolkata,"Dr. Suparna Banerjee, infertility specialist"
Multi-speciality,Care Now Multispeciality Polyclinic,Kolkata (Jodhpur Park),——,"75, Jodhpur Park, Kolkata 700068","Launched 'Heart Beat' cardiac clinic Aug 2025"
Multi-speciality,Kauvery Clinic & Information Centre,Kolkata (Central),——,"4, Syed Amir Ali Avenue, Kolkata 700017","New launch 2025, Kauvery Group, HOT lead"
Diagnostic,Vijaya Diagnostic Centre,Kolkata (Barasat),——,Barasat Kolkata,"New Barasat centre with 3T MRI, launched 2025"
Dental,SAI(M) Dental Clinic,Durgapur,"9930603155, 7391093666",Durgapur Paschim Bardhaman,"Active dental clinic, aggressive marketing"
Dental,Apollo Dental Clinic,Durgapur (Sibtala),8670909033,"Arrah Sibtala, Beside Tapoban City, Durgapur 713212","Apollo brand dental franchise"
Dental,Icche Charitable Dental Clinic,Durgapur,9732346308,"B40 Meghmallar Sarani, Bidhanagar, Durgapur 713212","Active dental clinic"
Dental,Sanjeevani Dental Clinic,Durgapur (City Centre),——,"A-7 Abanindra Bithi, City Centre, Durgapur 713216","Director: Arnab Mallik"
Dental,Smile Care Dental Clinic (Dr. C.D. Samanta),Durgapur (City Centre),——,"City Centre Phase II, Opp Post Office, Palashdiha, Durgapur 713208","Active dental practice"
Skin,Dr. Paul's Skincare Clinic,Durgapur (City Centre),——,"1st Floor, Sambhu Mitra Path, Near Durgapur Cinema, Doctor's Colony, City Center 713216","Skin & aesthetic clinic"
Skin,Adjuven Skin & Dental Clinic,Durgapur (Benachity),7384950706,"Ground Floor, Central Bank of India Building, Benachity, Durgapur 713213","Skin + dental combo, rated 5/5"
Skin,eEpiderma Cosmetology & Skin Laser Clinic,Durgapur (City Centre),8001560001,"C-2/2, 1st Floor, Beside Smartbazar, Opp Lifecare Hospital, City Centre 713216","Est. 2014, laser & cosmetology"
Skin,Dr Batra's Skin Clinic,Durgapur,——,City Centre Durgapur,"Brand chain, homeopathy + skin"
Physiotherapy,Healing Touch Pain Clinic,Durgapur,——,Durgapur,"Advanced physio, Matrix Rhythm Therapy, Class 4 Laser"
Physiotherapy,Relief Durgapur,Durgapur,——,Durgapur,"Physiotherapy & Yogatherapy, est. 1998"
Physiotherapy,The Applied Physio,Durgapur,——,Durgapur,"Modern physiotherapy clinic, home visits"
Physiotherapy,Motion Care Physiotherapy & Wellness,Durgapur (Bidhan Nagar),——,"1500 MORE, Bidhan Nagar, Durgapur, Burdwan","New clinic in Durgapur"
Eye,Dvita Eye Care,Durgapur,——,Durgapur,"Incorporated 2021, modern eye hospital"
Eye,Disha Eye Hospital,Durgapur (City Centre),03366360002,"Palashdiha, Near City Centre, Durgapur 713208","25-bed, 500 patients/day, established"
Eye,Lions Care Centre,Durgapur (Tagore Avenue),7318763558,"Tagore Avenue, Prantika, A-Zone, Durgapur 713204","15-bed eye hospital, est. 2000"
Endocrine,Pristine Endocrine Clinic,Durgapur,"8170061952, 8170061954",Durgapur,"Dr. Rajarshi Mukhopadhyay, UK-returned endocrinologist, newer clinic"
Multi-speciality,Sanaka Clinic,Durgapur (City Centre),——,City Centre Durgapur,"State-of-the-art diagnostic clinic"
Multi-speciality,Durgapur City Hospital & Clinic,Durgapur (City Centre),"2546600, 2545262","Central Park, Doctor's Colony, City Center, Durgapur 713216","Multi-speciality hospital & clinic"
Multi-speciality,Elanview Nursing Home,Durgapur (City Centre),9332353677,"N-1, Doctor's Colony, City Centre, Durgapur 713216","Nursing home, actively seeing patients"
Multi-speciality,Presidency Nursing Home,Durgapur (City Centre),2547453,"Doctor's Colony, City Centre, Durgapur 713216","Nursing home"
Multi-speciality,Vivec Clinic & Nursing Home,Durgapur,2555898,"Dr. B.C. Roy Avenue, Durgapur Bus Stand, Durgapur","Clinic & nursing home"
Multi-speciality,Bidhan Niramoy,Durgapur (Sector 2B),"2537001, 2537083","B-120, Aldrin Path, Sec-2B, Durgapur 713212","Multi-speciality"
Multi-speciality,Apollo Clinic Durgapur,Durgapur (Sibtala),——,"Arrah Sibtala Road, Durgapur","Apollo brand franchise"
Multi-speciality,Healthworld Hospitals - City Hospital & Clinic,Durgapur (City Centre),8170055555,"City Centre, Durgapur","Major chain, OPD services"
Multi-speciality,The Mission Hospital,Durgapur (Bidhannagar),8687500500,"Immon Kalyan Sarani, Sector IIC, Bidhan Nagar, Durgapur 713212","Multi-speciality"
Multi-speciality,Vivekananda Hospital,Durgapur (Bidhannagar),03436610360,"Dr. Zakir Hussain Ave, Bidhannagar, Durgapur 713206","Multi-speciality"
General Medicine,Dr. Debashis Mukherjee Clinic,Kolkata (Kalighat),9831116567,"200B, Shyama Prasad Mukherjee Road, Mudiali, Kalighat, Kolkata 700026","Family physician, 45+ years, active practice"
Homeopathy,Dr Maiti's Swasti Homoeo,Kolkata (Kestopur),9831511463,"AG-147/1, Priyabani Apartment, Talbagan, Rabindrapally, Kestopur, Kolkata 700101","Well-established homeopathy practice"
,,,,,
,,,,,"8272993202, 9230113485, 9831131603, 9830382886, 9836932000, 7003731994, 9836813681, 9874379232, 03340040575, 9830836666, 9007574000, 03340032100, 8480856631, 8617241804, 9433357058, 6289596763, 9930603155, 7391093666, 8670909033, 9732346308, 7384950706, 8001560001, 03366360002, 7318763558, 8170061952, 8170061954, 2546600, 2545262, 9332353677, 2547453, 2555898, 2537001, 2537083, 8170055555, 8687500500, 03436610360, 9831116567, 9831511463"

