Type,Institute Name,Location,Contact Number(s),Address,Notes
New School,Manisha International School Durgapur,Durgapur,8373056001,GT Road Rajbandh Durgapur-713212,Rahul Foundation school
Preschool,Rainbow Kids School Durgapur,Durgapur,"9800148290, 8637328304","C-25 3rd Street Central Park City Center Durgapur-713216","Private preschool, 2 branches"
Preschool,The First Step Durgapur,Durgapur,8670726379,Durgapur,Private preschool
Preschool,Little Flowers School Durgapur,Durgapur,"9933673190, 8101371078","7/2 Tetikhala Kaliganj More Durgapur-12",Private KG/school
B.Ed College,National Education Institute,Kolkata,"9038626432, 9433116361, 6289886238","106/14A Hazra Road Kalighat Kolkata-700026",Actively admitting 2026-28
B.Ed College,Sealdah Group of College,Kolkata,"8345872245, 8335017015","13 Dr. Kartik Bose Street Kolkata-700009","Seat booking going on"
B.Ed College,Kolkata Teacher's Training College,Kolkata,8100310410,Kolkata,Private B.Ed/M.Ed
B.Ed College,BKJK School of Education,Kolkata,——,Kolkata,"Est 2015, private"
B.Ed College,El-Bethel B.Ed College,Kolkata,3324980323,Kolkata,"Self-financed, est 2008"
B.Ed College,Kolkata B.Ed College,Kolkata,"9330053159, 9239602593",Kolkata,"Est 2021, very new!"
B.Ed College,Pailan College of Education,Kolkata,9830800310,Pailan Park South 24 Parganas Kolkata-700104,"B.Ed/M.Ed since 2009"
Degree College,Kingston College of Science,Kolkata,"9123389933, 8910177339",Berunanpukuria Barasat Kolkata-700126,"Private, est 2004"
Degree College,Sir Gurudas Mahavidyalaya,Kolkata,"7059908119, 7059474383, 8927390620","33/6/1 Biplabi Barin Ghosh Sarani Ultadanga Kolkata-700067",Private degree college
Degree College,The Heritage College,Kolkata,9051977076,Chowbaga Road Anandapur Kolkata,"Private, est 2016"
Pharmacy College,Dr. B.C. Roy College of Pharmacy & AHS,Durgapur,"0343-2532679, 8972107793","Dr. Meghnad Saha Sarani Bidhan Nagar Durgapur-713206","Principal: Prof. Samir Kumer Samanta"
Pharmacy College,IQ City Institute of Pharmaceutical Sciences,Durgapur,——,IQ City Road Durgapur-713206,Under Mani Group
Pharmacy College,BCRCP AHS Durgapur,Durgapur,"0343-2501353, 2504106, 6297128554",Jemua Road Fuljhore Durgapur-713206,BCREC group
Nursing College,DSMS Institute of Nursing,Durgapur,"0343-2536993, 9932077701, 7407437777","Dr Zakir Hussain Ave Bidhannagar Durgapur-713206","Chairman: Anupam Mukherjee"
ALL NUMBERS COMBINED,ALL,ALL,"8910086683, 8100566227, 9163522225, 9836831662, 7908258686, 9432012681, 9073322523, 8100192400, 6291977702, 8902496651, 8336942309, 8336942264, 8336942300, 6291977709, 9073683915, 9144144484, 7699999906, 9474700287, 0343-2500025, 9733886389, 7478823806, 7810974211, 7699001644, 7303848310, 0343-2700085, 7676750000, 8945524319, 9333709950, 0343-2535487, 8373062199, 03340838081, 6296200090, 7797666226, 8348691545, 8420105459, 03218-260065, 9434033636, 0343-2557371, 9748817473, 9674888190, 9073403629, 9051071233, 9163371998, 9331434931, 9903318483, 1800-102-3344, 0343-2536655, 9046110655, 8373056001, 9800148290, 8637328304, 8670726379, 9933673190, 8101371078, 9038626432, 9433116361, 6289886238, 8345872245, 8335017015, 8100310410, 3324980323, 9330053159, 9239602593, 9830800310, 9123389933, 8910177339, 7059908119, 7059474383, 8927390620, 9051977076, 0343-2532679, 8972107793, 0343-2501353, 2504106, 6297128554, 0343-2536993, 9932077701, 7407437777",ALL,ALL CONTACT NUMBERS FROM ALL ENTRIES ABOVE
